"timestamp","id device","error","num of message","previous timestamp difference","previous timestamp difference for this device"
"1731257331","","1","","",""
"2398171283","","1","","666913952",""
"3491751243","","1","","1093579960",""
"1087976139","","1","","-2403775104",""
"1867036819","","1","","779060680",""
"3666346387","","1","","1799309568",""
"3706157427","","1","","39811040",""
"3949386603","","1","","243229176",""
"275182347","","1","","-3674204256",""
"1057905051","","1","","782722704",""
"1415390171","","1","","357485120",""
"1557057355","","1","","141667184",""
"2181134011","","1","","624076656",""
"3500205099","","1","","1319071088",""
"4259111283","","1","","758906184",""
"92987827","","1","","-4166123456",""
"425889259","","1","","332901432",""
"1153882443","","1","","727993184",""
"1255967059","","1","","102084616",""
"53007051","","1","","-1202960008",""
"47699707","","1","","-5307344",""
"17983459","","1","","-29716248",""
"60184196","00650827","0","0","42200737",""
"66189764","00650827","0","1","6005568",""
"73189476","00650827","0","2","6999712",""
"80189164","00650827","0","3","6999688",""
"87109508","007D0122","0","0","6920344",""
"93115060","007D0122","0","1","6005552",""
"99125452","007D0122","0","2","6010392",""
"105136860","007D0122","0","3","6011408",""
"108187932","00650827","0","7","3051072","6999692.0"
"115187612","00650827","0","8","6999680",""
"122187308","00650827","0","9","6999696",""
"129186996","00650827","0","10","6999688",""
"136186684","00650827","0","11","6999688",""
"143186372","00650827","0","12","6999688",""
"150186060","00650827","0","13","6999688",""
"157185756","00650827","0","14","6999696",""
"164185436","00650827","0","15","6999680",""
"171185140","00650827","0","16","6999704",""
"178184828","00650827","0","17","6999688",""
"185184516","00650827","0","18","6999688",""
"192184196","00650827","0","19","6999680",""
"316532300","0063013D","0","0","124348104",""
"320537996","0063013D","0","1","4005696",""
"324548564","0063013D","0","2","4010568",""
"331549244","0063013D","0","3","7000680",""
"338548956","0063013D","0","4","6999712",""
"340320428","00440121","0","0","1771472",""
"344326052","00440121","0","1","4005624",""
"351325708","00440121","0","2","6999656",""
"358326308","00440121","0","3","7000600",""
"365325932","00440121","0","4","6999624",""
"372326556","","1","","7000624",""
"379326204","","1","","6999648",""
"386326804","00440121","0","7","7000600","10500436.0"
"393326452","","1","","6999648",""
"400327044","","1","","7000592",""
"407326684","00440121","0","10","6999640","10499940.0"
"414326300","00440121","0","11","6999616",""
"421326940","00440121","0","12","7000640",""
"428327556","00440121","0","13","7000616",""
"435328164","00440121","0","14","7000608",""
"443544508","0063013D","0","19","8216344","6999703.466666667"
"450544212","0063013D","0","20","6999704",""
"457543916","0063013D","0","21","6999704",""
"459507764","00440121","0","0","1963848","8059866.666666667"
"463514156","","1","","4006392",""
"471543324","0063013D","0","23","8029168","6999704.0"
"478543028","0063013D","0","24","6999704",""
"485542732","0063013D","0","25","6999704",""
"492542436","0063013D","0","26","6999704",""
"499542140","0063013D","0","27","6999704",""
"506541844","0063013D","0","28","6999704",""
"511620068","00440121","0","0","5078224","7444614.857142857"
"513541548","0063013D","0","29","1921480","6999704.0"
"515625716","00440121","0","1","2084168","4005648.0"
"519637212","00440121","0","2","4011496",""
"523648716","00440121","0","3","4011504",""
"531671740","00440121","0","5","8023024",""
"534540660","0063013D","0","32","2868920","5249778.0"
"538671388","00440121","0","6","4130728","6999648.0"
"541540364","0063013D","0","33","2868976","6999704.0"
"545671004","00440121","0","7","4130640","6999616.0"
"548540068","0063013D","0","34","2869064","6999704.0"
"552671636","00440121","0","8","4131568","7000632.0"
"555539772","0063013D","0","35","2868136","6999704.0"
"559671252","00440121","0","9","4131480","6999616.0"
"562539476","0063013D","0","36","2868224","6999704.0"
"566671876","00440121","0","10","4132400","7000624.0"
"569539172","0063013D","0","37","2867296","6999696.0"
"573671508","00440121","0","11","4132336","6999632.0"
"576538876","0063013D","0","38","2867368","6999704.0"
"580671140","00440121","0","12","4132264","6999632.0"
"583538580","0063013D","0","39","2867440","6999704.0"
"587670788","00440121","0","13","4132208","6999648.0"
"590538284","0063013D","0","40","2867496","6999704.0"
"594670404","","1","","4132120",""
"597537988","0063013D","0","41","2867584","6999704.0"
"604537692","0063013D","0","42","6999704",""
"611537396","0063013D","0","43","6999704",""
"616929996","00440121","0","0","5392600","5851841.6"
"618537100","0063013D","0","44","1607104","6999704.0"
"620935628","00440121","0","1","2398528","4005632.0"
"625536804","0063013D","0","45","4601176","6999704.0"
"627935276","00440121","0","2","2398472","6999648.0"
"632536508","0063013D","0","46","4601232","6999704.0"
"634934916","00440121","0","3","2398408","6999640.0"
"639536212","0063013D","0","47","4601296","6999704.0"
"641935524","00440121","0","4","2399312","7000608.0"
"646535908","0063013D","0","48","4600384","6999696.0"
"648935156","00440121","0","5","2399248","6999632.0"
"653535612","0063013D","0","49","4600456","6999704.0"
"655934788","00440121","0","6","2399176","6999632.0"
"660535316","0063013D","0","50","4600528","6999704.0"
"662934420","00440121","0","7","2399104","6999632.0"
"667535020","0063013D","0","51","4600600","6999704.0"
"669934060","00440121","0","8","2399040","6999640.0"
"674534724","0063013D","0","52","4600664","6999704.0"
"676933692","00440121","0","9","2398968","6999632.0"
"681534420","0063013D","0","53","4600728","6999696.0"
"683933332","00440121","0","10","2398912","6999640.0"
"688534124","0063013D","0","54","4600792","6999704.0"
"690932956","00440121","0","11","2398832","6999624.0"
"695533828","0063013D","0","55","4600872","6999704.0"
"697932596","00440121","0","12","2398768","6999640.0"
"702533540","0063013D","0","56","4600944","6999712.0"
"704932212","","1","","2398672",""
"709533236","0063013D","0","57","4601024","6999696.0"
"716532940","0063013D","0","58","6999704",""
"723532644","0063013D","0","59","6999704",""
"728840156","00440121","0","0","5307512","6181512.0"
"730532348","0063013D","0","60","1692192","6999704.0"
"732845796","00440121","0","1","2313448","4005640.0"
"737532052","0063013D","0","61","4686256","6999704.0"
"739845428","00440121","0","2","2313376","6999632.0"
"744531756","0063013D","0","62","4686328","6999704.0"
"746846052","00440121","0","3","2314296","7000624.0"
"751531460","0063013D","0","63","4685408","6999704.0"
"753844700","","1","","2313240",""
"758531164","0063013D","0","64","4686464","6999704.0"
"765530868","0063013D","0","65","6999704",""
"772530572","0063013D","0","66","6999704",""
"776762452","00440121","0","1","4231880","5983280.0"
"779530268","0063013D","0","67","2767816","6999696.0"
"783762076","00440121","0","2","4231808","6999624.0"
"786529972","0063013D","0","68","2767896","6999704.0"
"790762684","00440121","0","3","4232712","7000608.0"
"793529676","0063013D","0","69","2766992","6999704.0"
"797763300","00440121","0","4","4233624","7000616.0"
"800529380","0063013D","0","70","2766080","6999704.0"
"804763924","00440121","0","5","4234544","7000624.0"
"807529092","0063013D","0","71","2765168","6999712.0"
"811762572","00440121","0","6","4233480","6998648.0"
"814528788","0063013D","0","72","2766216","6999696.0"
